label,input
normal,2023-11-15T01:22:00.100Z hostapd: wlan0: STA 02:00:00:00:0b:c9 WPA: pairwise key handshake completed (RSN)
normal,2023-11-14T23:31:35.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:04:e4
normal,2023-11-14T23:14:00.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
error,2023-11-14T22:40:35.150Z hostapd: wlan0: STA 02:00:00:00:01:b0 WPA: EAPOL-Key timeout
error,2023-11-15T00:16:00.450Z kernel: wlan0: firmware crashed while processing association response
normal,2023-11-15T00:12:00.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:07:69
error,2023-11-15T00:02:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
error,2023-11-14T22:43:15.500Z hostapd: wlan0: STA 02:00:00:00:01:dc IEEE 802.1X: authentication failed - EAP timeout
error,2023-11-15T00:07:25.150Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 7)
normal,2023-11-14T22:18:25.000Z hostapd: wlan0: STA 02:00:00:00:00:52 IEEE 802.11: authenticated
error,2023-11-15T01:17:25.200Z hostapd: wlan0: STA 02:00:00:00:0b:82 IEEE 802.11: deauthenticated due to inactivity
normal,2023-11-15T00:19:40.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:07:e5
normal,2023-11-14T22:16:20.000Z hostapd: wlan0: STA 02:00:00:00:00:31 IEEE 802.11: authenticated
error,2023-11-15T00:42:35.600Z dnsmasq-dhcp[411]: DHCPDECLINE(wlan0) 10.0.0.87 02:00:00:00:09:54
error,2023-11-15T00:41:35.350Z hostapd: wlan0: STA 02:00:00:00:09:40 IEEE 802.11: deauthenticated due to local deauth request
normal,2023-11-14T22:27:30.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:00:df
normal,2023-11-15T00:44:00.050Z hostapd: wlan0: STA 02:00:00:00:09:69 IEEE 802.11: associated (aid 1)
error,2023-11-14T22:24:25.150Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 7)
error,"2023-11-15T00:38:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
error,2023-11-15T01:13:20.200Z hostapd: wlan0: STA 02:00:00:00:0b:41 SAE: authentication failed
error,2023-11-14T23:51:05.150Z hostapd: wlan0: STA 02:00:00:00:06:1a WPA: group key handshake timeout
normal,2023-11-14T23:21:35.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:04:44
error,2023-11-15T01:19:00.550Z wpa_supplicant[212]: wlan0: CTRL-EVENT-BEACON-LOSS
error,2023-11-15T01:19:15.500Z hostapd: wlan0: STA 02:00:00:00:0b:9c IEEE 802.1X: authentication failed - EAP timeout
normal,2023-11-15T01:20:10.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-15T01:16:10.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:0b:6b
normal,2023-11-15T00:07:20.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=3 locally_generated=1
error,2023-11-14T22:17:00.550Z wpa_supplicant[212]: wlan0: CTRL-EVENT-BEACON-LOSS
error,2023-11-15T01:09:35.500Z dhclient[532]: No DHCPOFFERS received.
normal,2023-11-15T00:15:30.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:07:9f
error,2023-11-15T00:53:35.550Z dhclient[532]: No working leases in persistent database - sleeping.
error,2023-11-15T01:20:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T22:40:00.100Z hostapd: wlan0: STA 02:00:00:00:01:a9 WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T01:22:05.000Z hostapd: wlan0: STA 02:00:00:00:0b:ca IEEE 802.11: authenticated
normal,2023-11-14T23:39:55.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-15T00:17:00.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:07:b9
error,2023-11-14T22:25:20.050Z hostapd: wlan0: STA 02:00:00:00:00:c1 IEEE 802.11: association denied due to unsupported rates
error,2023-11-15T01:04:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
normal,2023-11-14T22:21:25.050Z hostapd: wlan0: STA 02:00:00:00:00:82 IEEE 802.11: associated (aid 3)
error,2023-11-15T01:01:05.150Z hostapd: wlan0: STA 02:00:00:00:0a:7a WPA: group key handshake timeout
normal,2023-11-14T23:05:45.100Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.87 02:00:00:00:03:46 LabPhone
normal,2023-11-15T00:15:25.100Z hostapd: wlan0: STA 02:00:00:00:07:9e IEEE 802.11: reassociated (aid 5)
error,2023-11-15T00:42:30.050Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T22:24:30.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-14T23:11:45.250Z dnsmasq-dhcp[411]: DHCPINFORM(wlan0) 10.0.0.87 02:00:00:00:03:a6
normal,2023-11-14T22:25:25.150Z wpa_supplicant[212]: wlan0: WPA: Key negotiation completed with 02:11:22:33:44:66 [PTK=CCMP GTK=CCMP]
normal,2023-11-14T23:08:30.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:03:6f
error,2023-11-14T22:30:05.200Z kernel: wlan0: Michael MIC failure detected for STA 02:00:00:00:01:0a
normal,2023-11-14T22:39:35.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
error,2023-11-15T00:45:20.050Z hostapd: wlan0: STA 02:00:00:00:09:81 IEEE 802.11: association denied due to unsupported rates
error,2023-11-14T22:29:35.150Z hostapd: wlan0: STA 02:00:00:00:01:00 WPA: EAPOL-Key timeout
error,2023-11-15T01:05:50.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=8
normal,2023-11-14T22:56:45.200Z dhclient[532]: bound to 10.0.0.87 -- renewal in 1800 seconds.
error,2023-11-14T23:35:05.200Z kernel: wlan0: Michael MIC failure detected for STA 02:00:00:00:05:1a
normal,2023-11-15T01:18:50.000Z hostapd: wlan0: STA 02:00:00:00:0b:97 IEEE 802.11: authenticated
error,"2023-11-14T23:18:20.100Z hostapd: wlan0: STA 02:00:00:00:04:11 IEEE 802.11: denied association, too many stations"
error,2023-11-15T01:09:20.250Z hostapd: wlan0: STA 02:00:00:00:0b:01 rejected due to ACL deny list
error,"2023-11-14T22:15:00.400Z kernel: wlan0: failed to remove key (idx=0, hw_key_idx=-1)"
error,2023-11-14T23:23:30.050Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,2023-11-14T23:35:31.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=34
normal,2023-11-14T22:57:55.100Z hostapd: wlan0: STA 02:00:00:00:02:c8 WPA: pairwise key handshake completed (RSN)
normal,2023-11-14T23:57:35.050Z hostapd: wlan0: STA 02:00:00:00:06:80 IEEE 802.11: associated (aid 1)
normal,2023-11-14T23:32:25.150Z wpa_supplicant[212]: wlan0: WPA: Key negotiation completed with 02:11:22:33:44:66 [PTK=CCMP GTK=CCMP]
error,2023-11-15T01:05:20.050Z hostapd: wlan0: STA 02:00:00:00:0a:c1 IEEE 802.11: association denied due to unsupported rates
normal,2023-11-14T23:46:35.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:05:d4
normal,2023-11-14T22:27:10.000Z hostapd: wlan0: STA 02:00:00:00:00:db IEEE 802.11: authenticated
error,2023-11-14T23:13:55.750Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=4 locally_generated=0
normal,2023-11-15T00:03:55.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:06:e8
error,2023-11-14T23:04:05.100Z hostapd: wlan0: STA 02:00:00:00:03:2a WPA: PTKSTART: 4-way handshake failed after retransmission
error,2023-11-15T01:03:50.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=8
normal,2023-11-14T22:30:55.050Z hostapd: wlan0: STA 02:00:00:00:01:18 IEEE 802.11: associated (aid 1)
normal,2023-11-14T23:54:40.050Z hostapd: wlan0: STA 02:00:00:00:06:55 IEEE 802.11: associated (aid 1)
error,2023-11-15T00:18:20.050Z hostapd: wlan0: STA 02:00:00:00:07:d1 IEEE 802.11: association denied due to unsupported rates
normal,2023-11-14T23:24:55.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:04:78
error,2023-11-14T23:39:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,2023-11-14T22:44:50.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=8
normal,2023-11-14T22:23:25.100Z hostapd: wlan0: STA 02:00:00:00:00:9e IEEE 802.11: reassociated (aid 5)
error,2023-11-14T23:50:05.100Z hostapd: wlan0: STA 02:00:00:00:06:0a WPA: PTKSTART: 4-way handshake failed after retransmission
error,2023-11-14T22:19:05.100Z hostapd: wlan0: STA 02:00:00:00:00:5a WPA: PTKSTART: 4-way handshake failed after retransmission
error,2023-11-14T22:26:31.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=34
normal,2023-11-15T00:22:30.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:08:0f
normal,2023-11-15T01:13:40.050Z hostapd: wlan0: STA 02:00:00:00:0b:45 IEEE 802.11: associated (aid 1)
normal,2023-11-14T23:15:25.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
error,2023-11-15T01:21:50.150Z hostapd: wlan0: STA 02:00:00:00:0b:c7 IEEE 802.11: disassociated due to excessive frame loss
error,2023-11-15T01:12:20.250Z hostapd: wlan0: STA 02:00:00:00:0b:31 rejected due to ACL deny list
error,2023-11-14T23:40:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
normal,2023-11-14T23:50:40.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:06:15
error,2023-11-15T01:33:05.150Z hostapd: wlan0: STA 02:00:00:00:0c:7a WPA: group key handshake timeout
normal,2023-11-15T01:27:45.300Z dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.0.0.87 02:00:00:00:0c:26
normal,2023-11-15T00:35:35.100Z hostapd: wlan0: STA 02:00:00:00:08:e4 WPA: pairwise key handshake completed (RSN)
error,2023-11-15T01:11:25.150Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 7)
normal,2023-11-14T22:52:25.000Z hostapd: wlan0: STA 02:00:00:00:02:72 IEEE 802.11: authenticated
normal,2023-11-14T23:25:20.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=3 locally_generated=1
error,2023-11-14T23:30:20.050Z hostapd: wlan0: STA 02:00:00:00:04:d1 IEEE 802.11: association denied due to unsupported rates
normal,2023-11-14T22:20:25.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
error,2023-11-14T22:19:25.150Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 7)
normal,2023-11-15T00:39:55.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:09:28
error,2023-11-14T23:07:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
normal,2023-11-14T23:37:40.000Z hostapd: wlan0: STA 02:00:00:00:05:45 IEEE 802.11: authenticated
normal,2023-11-15T01:10:00.050Z hostapd: wlan0: STA 02:00:00:00:0b:09 IEEE 802.11: associated (aid 1)
normal,2023-11-15T01:09:10.100Z hostapd: wlan0: STA 02:00:00:00:0a:fb WPA: pairwise key handshake completed (RSN)
error,2023-11-14T23:09:35.500Z dhclient[532]: No DHCPOFFERS received.
error,2023-11-15T01:18:05.100Z hostapd: wlan0: STA 02:00:00:00:0b:8a WPA: PTKSTART: 4-way handshake failed after retransmission
error,"2023-11-14T23:24:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
normal,2023-11-14T23:33:35.050Z hostapd: wlan0: STA 02:00:00:00:05:04 IEEE 802.11: associated (aid 1)
error,2023-11-14T22:49:35.550Z dhclient[532]: No working leases in persistent database - sleeping.
normal,2023-11-15T01:03:35.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-14T22:15:50.050Z hostapd: wlan0: STA 02:00:00:00:00:27 IEEE 802.11: associated (aid 4)
normal,2023-11-14T23:41:50.000Z hostapd: wlan0: STA 02:00:00:00:05:87 IEEE 802.11: authenticated
error,2023-11-15T01:13:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
normal,2023-11-15T00:28:40.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:08:75
error,2023-11-15T00:40:31.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=34
normal,2023-11-15T00:10:40.050Z hostapd: wlan0: STA 02:00:00:00:07:55 IEEE 802.11: associated (aid 1)
normal,2023-11-14T23:42:45.050Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.87 02:00:00:00:05:96
error,"2023-11-14T22:47:00.400Z kernel: wlan0: failed to remove key (idx=0, hw_key_idx=-1)"
normal,2023-11-14T22:39:40.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:01:a5
error,2023-11-14T22:15:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
normal,2023-11-15T00:09:35.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:07:44
error,2023-11-14T22:18:35.350Z hostapd: wlan0: STA 02:00:00:00:00:50 IEEE 802.11: deauthenticated due to local deauth request
normal,2023-11-14T22:41:25.150Z wpa_supplicant[212]: wlan0: WPA: Key negotiation completed with 02:11:22:33:44:66 [PTK=CCMP GTK=CCMP]
error,2023-11-15T00:04:31.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=34
error,2023-11-14T23:41:55.750Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=4 locally_generated=0
error,"2023-11-15T00:51:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
normal,2023-11-15T00:44:35.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:09:74
error,2023-11-15T01:27:05.250Z wpa_supplicant[212]: wlan0: WPA: replay counter did not increase - dropping packet from 02:11:22:33:44:55
error,"2023-11-14T23:40:20.150Z hostapd: wlan0: STA 02:00:00:00:05:71 IEEE 802.11: authentication rejected, status_code=13"
error,2023-11-15T00:25:31.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=34
error,2023-11-14T23:25:35.350Z hostapd: wlan0: STA 02:00:00:00:04:80 IEEE 802.11: deauthenticated due to local deauth request
normal,2023-11-15T00:16:30.000Z hostapd: wlan0: STA 02:00:00:00:07:af IEEE 802.11: authenticated
error,2023-11-15T00:25:00.550Z wpa_supplicant[212]: wlan0: CTRL-EVENT-BEACON-LOSS
error,"2023-11-14T22:28:20.100Z hostapd: wlan0: STA 02:00:00:00:00:f1 IEEE 802.11: denied association, too many stations"
normal,2023-11-15T00:40:00.000Z hostapd: wlan0: STA 02:00:00:00:09:29 IEEE 802.11: authenticated
error,2023-11-14T23:51:35.500Z dhclient[532]: No DHCPOFFERS received.
error,2023-11-14T22:14:35.500Z dhclient[532]: No DHCPOFFERS received.
normal,2023-11-15T00:50:40.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:09:d5
error,2023-11-14T23:25:00.500Z kernel: wlan0: TX status timeout for EAPOL frame
error,2023-11-14T23:32:05.100Z hostapd: wlan0: STA 02:00:00:00:04:ea WPA: PTKSTART: 4-way handshake failed after retransmission
error,2023-11-14T23:28:50.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=8
normal,2023-11-14T22:37:55.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:01:88
normal,2023-11-14T22:27:10.050Z hostapd: wlan0: STA 02:00:00:00:00:db IEEE 802.11: associated (aid 1)
normal,2023-11-15T00:55:30.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:0a:1f
error,2023-11-14T23:43:00.500Z kernel: wlan0: TX status timeout for EAPOL frame
normal,2023-11-15T00:53:05.050Z hostapd: wlan0: STA 02:00:00:00:09:fa IEEE 802.11: associated (aid 6)
error,"2023-11-14T22:13:20.150Z hostapd: wlan0: STA 02:00:00:00:00:01 IEEE 802.11: authentication rejected, status_code=13"
normal,2023-11-14T22:52:25.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
error,2023-11-15T01:14:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
error,2023-11-15T00:05:20.050Z hostapd: wlan0: STA 02:00:00:00:07:01 IEEE 802.11: association denied due to unsupported rates
normal,2023-11-15T00:56:30.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:0a:2f
error,2023-11-15T00:42:55.750Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=4 locally_generated=0
normal,2023-11-14T23:22:35.000Z hostapd: wlan0: STA 02:00:00:00:04:50 IEEE 802.11: authenticated
error,2023-11-15T00:14:35.400Z dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.0.0.87 02:00:00:00:07:94 wrong network
error,"2023-11-15T00:49:20.150Z hostapd: wlan0: STA 02:00:00:00:09:c1 IEEE 802.11: authentication rejected, status_code=13"
error,2023-11-15T01:25:40.350Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:0c:05
normal,2023-11-15T00:22:30.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:08:0f
error,2023-11-14T22:23:35.500Z dhclient[532]: No DHCPOFFERS received.
normal,2023-11-15T01:14:40.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:0b:55
normal,2023-11-14T22:36:45.100Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.87 02:00:00:00:01:76 LabPhone
error,2023-11-14T22:59:05.300Z hostapd: wlan0: STA 02:00:00:00:02:da WPA: 4-way handshake information element mismatch
error,2023-11-14T22:26:05.300Z hostapd: wlan0: STA 02:00:00:00:00:ca WPA: 4-way handshake information element mismatch
normal,2023-11-15T00:59:40.000Z hostapd: wlan0: STA 02:00:00:00:0a:65 IEEE 802.11: authenticated
error,2023-11-14T23:11:05.100Z hostapd: wlan0: STA 02:00:00:00:03:9a WPA: PTKSTART: 4-way handshake failed after retransmission
error,2023-11-15T01:19:40.350Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:0b:a5
normal,2023-11-15T00:23:00.050Z hostapd: wlan0: STA 02:00:00:00:08:19 IEEE 802.11: associated (aid 1)
error,2023-11-15T01:20:55.750Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=4 locally_generated=0
error,2023-11-14T23:59:05.150Z hostapd: wlan0: STA 02:00:00:00:06:9a WPA: group key handshake timeout
error,2023-11-14T22:32:35.550Z dhclient[532]: No working leases in persistent database - sleeping.
normal,2023-11-14T22:39:10.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:01:9b
error,2023-11-15T00:38:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,2023-11-15T00:11:05.150Z hostapd: wlan0: STA 02:00:00:00:07:5a WPA: group key handshake timeout
normal,2023-11-14T23:09:10.100Z hostapd: wlan0: STA 02:00:00:00:03:7b WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T00:25:30.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:08:3f
error,2023-11-14T23:59:35.350Z hostapd: wlan0: STA 02:00:00:00:06:a0 IEEE 802.11: deauthenticated due to local deauth request
error,2023-11-15T01:15:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
error,2023-11-14T22:42:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-15T01:07:55.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:0a:e8
error,2023-11-15T00:12:30.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-15T00:30:10.050Z hostapd: wlan0: STA 02:00:00:00:08:8b IEEE 802.11: associated (aid 1)
error,2023-11-14T23:43:15.500Z hostapd: wlan0: STA 02:00:00:00:05:9c IEEE 802.1X: authentication failed - EAP timeout
normal,2023-11-14T23:11:30.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:03:9f
normal,2023-11-15T00:37:30.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:08:ff
error,2023-11-14T22:30:35.550Z dhclient[532]: No working leases in persistent database - sleeping.
error,2023-11-15T01:14:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
normal,2023-11-14T22:58:30.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:02:cf
error,2023-11-15T01:02:00.450Z kernel: wlan0: firmware crashed while processing association response
normal,2023-11-14T23:27:20.100Z hostapd: wlan0: STA 02:00:00:00:04:9d IEEE 802.11: associated (aid 2)
normal,2023-11-15T01:03:55.100Z hostapd: wlan0: STA 02:00:00:00:0a:a8 WPA: pairwise key handshake completed (RSN)
normal,2023-11-14T23:18:00.000Z hostapd: wlan0: STA 02:00:00:00:04:09 IEEE 802.11: authenticated
normal,2023-11-15T00:59:35.000Z hostapd: wlan0: STA 02:00:00:00:0a:64 IEEE 802.11: authenticated
error,2023-11-14T22:13:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T22:45:40.100Z hostapd: wlan0: STA 02:00:00:00:02:05 WPA: pairwise key handshake completed (RSN)
error,2023-11-14T23:56:35.600Z dnsmasq-dhcp[411]: DHCPDECLINE(wlan0) 10.0.0.87 02:00:00:00:06:74
normal,2023-11-14T23:51:20.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
error,2023-11-14T23:10:50.150Z hostapd: wlan0: STA 02:00:00:00:03:97 IEEE 802.11: disassociated due to excessive frame loss
normal,2023-11-14T23:39:40.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:05:65
normal,2023-11-14T22:37:30.000Z hostapd: wlan0: STA 02:00:00:00:01:7f IEEE 802.11: authenticated
normal,2023-11-14T23:43:40.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:05:a5
normal,2023-11-14T23:59:40.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:06:a5
normal,2023-11-14T22:58:10.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-14T23:55:55.050Z hostapd: wlan0: STA 02:00:00:00:06:68 IEEE 802.11: associated (aid 1)
normal,2023-11-15T00:32:55.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:08:b8
normal,2023-11-14T22:54:25.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SIGNAL-CHANGE above=1 signal=-61 noise=9999 txrate=144400
error,2023-11-14T23:55:25.200Z hostapd: wlan0: STA 02:00:00:00:06:62 IEEE 802.11: deauthenticated due to inactivity
error,"2023-11-15T01:04:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
normal,2023-11-15T00:55:45.050Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.87 02:00:00:00:0a:26
error,2023-11-15T01:10:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,2023-11-15T00:01:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
error,2023-11-14T23:13:35.350Z hostapd: wlan0: STA 02:00:00:00:03:c0 IEEE 802.11: deauthenticated due to local deauth request
normal,2023-11-15T01:27:35.100Z hostapd: wlan0: STA 02:00:00:00:0c:24 WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T01:18:30.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:0b:8f
normal,2023-11-14T22:54:35.050Z hostapd: wlan0: STA 02:00:00:00:02:90 IEEE 802.11: associated (aid 1)
error,2023-11-14T22:59:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,"2023-11-14T22:27:00.400Z kernel: wlan0: failed to remove key (idx=0, hw_key_idx=-1)"
normal,2023-11-14T22:55:40.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:02:a5
